lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
31.434,75.413,314.1,1.2,1.1,70.0,9.6,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159099,1,1,2023-11-09,POINT (75.41300201416016 31.43400001525879)
31.024,75.766,316.1,1.2,1.1,72.0,12.7,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159102,1,1,2023-11-09,POINT (75.76599884033203 31.02400016784668)
31.027,75.76,310.7,1.2,1.1,63.0,6.7,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159100,1,1,2023-11-09,POINT (75.76000213623047 31.02700042724609)
31.025,75.773,311.7,1.2,1.1,66.0,7.8,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159101,1,1,2023-11-09,POINT (75.77300262451172 31.02499961853027)
30.449,75.935,311.7,1.3,1.1,63.0,7.6,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159105,1,1,2023-11-09,POINT (75.93499755859375 30.44899940490723)
30.553,75.628,310.3,1.2,1.1,59.0,6.2,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159104,1,1,2023-11-09,POINT (75.62799835205078 30.55299949645996)
30.8,75.203,314.9,1.2,1.1,69.0,10.5,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159103,1,1,2023-11-09,POINT (75.2030029296875 30.79999923706055)
30.265,75.807,314.4,1.3,1.1,68.0,10.8,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159092,1,1,2023-11-09,POINT (75.80699920654297 30.26499938964844)
31.434,75.413,314.1,1.2,1.1,70.0,9.6,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159099,1,1,2023-11-09,POINT (75.41300201416016 31.43400001525879)
31.024,75.766,316.1,1.2,1.1,72.0,12.7,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159102,1,1,2023-11-09,POINT (75.76599884033203 31.02400016784668)
31.027,75.76,310.7,1.2,1.1,63.0,6.7,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159100,1,1,2023-11-09,POINT (75.76000213623047 31.02700042724609)
31.025,75.773,311.7,1.2,1.1,66.0,7.8,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159101,1,1,2023-11-09,POINT (75.77300262451172 31.02499961853027)
30.449,75.935,311.7,1.3,1.1,63.0,7.6,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159105,1,1,2023-11-09,POINT (75.93499755859375 30.44899940490723)
30.553,75.628,310.3,1.2,1.1,59.0,6.2,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159104,1,1,2023-11-09,POINT (75.62799835205078 30.55299949645996)
30.8,75.203,314.9,1.2,1.1,69.0,10.5,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159103,1,1,2023-11-09,POINT (75.2030029296875 30.79999923706055)
30.265,75.807,314.4,1.3,1.1,68.0,10.8,mod,2023-11-09,11:M3:57,027093,T,PB,,,,3159092,1,1,2023-11-09,POINT (75.80699920654297 30.26499938964844)
