,lat,lon,radiative_,sat,acqdate,acqtime,sensor,state,district
2,30.421,74.374,17.3,mod,2023-10-30,14:M3:55,A,PB,MUKTSAR
3,30.579,76.469,16.4,mod,2023-10-30,14:M3:55,A,PB,FATEHGARH SAHIB
4,30.733,76.462,19.5,mod,2023-10-30,14:M3:55,A,PB,FATEHGARH SAHIB
5,30.3,75.319,23.8,mod,2023-10-30,14:M3:55,A,PB,BATHINDA
6,30.938,76.151,18.4,mod,2023-10-30,14:M3:55,A,PB,LUDHIANA
7,30.395,75.224,23.4,mod,2023-10-30,14:M3:55,A,PB,BATHINDA
8,30.185,75.815,34.7,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
9,30.179,75.803,12.8,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
10,30.324,75.813,10.2,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
11,31.131,74.54,35.3,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
12,30.28,76.163,19.9,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
13,30.349,76.509,39.4,mod,2023-10-30,14:M3:55,A,PB,PATIALA
14,30.351,76.532,19.1,mod,2023-10-30,14:M3:55,A,PB,PATIALA
15,30.351,76.514,52.7,mod,2023-10-30,14:M3:55,A,PB,PATIALA
16,31.042,74.773,16.1,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
17,30.977,74.585,15.9,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
18,31.007,74.766,20.5,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
20,30.927,74.855,25.7,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
21,30.922,74.85,45.1,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
22,31.029,74.649,12.8,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
23,30.728,74.279,8.4,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
24,31.181,74.914,20.4,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
25,31.15,74.608,19.4,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
26,31.235,74.537,22.2,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
27,31.113,74.703,16.1,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
28,30.718,74.622,13.4,mod,2023-10-30,14:M3:55,A,PB,FARIDKOT
29,30.473,74.234,10.0,mod,2023-10-30,14:M3:55,A,PB,FAZILKA
30,30.853,74.703,11.1,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
31,30.859,74.649,24.1,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
32,30.784,74.365,28.8,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
33,30.787,74.399,16.0,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
34,30.757,74.776,38.6,mod,2023-10-30,14:M3:55,A,PB,FARIDKOT
35,30.755,74.759,27.1,mod,2023-10-30,14:M3:55,A,PB,FARIDKOT
36,30.783,74.468,14.0,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
37,30.783,74.474,23.2,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
38,30.831,74.82,11.3,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
39,31.73,75.189,12.3,mod,2023-10-30,14:M3:55,A,PB,AMRITSAR
40,31.334,74.625,21.6,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
41,31.489,74.7,17.9,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
42,31.458,74.87,11.0,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
43,31.461,74.857,12.0,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
44,31.376,74.594,13.7,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
45,30.74,76.391,18.1,mod,2023-10-30,14:M3:55,A,PB,FATEHGARH SAHIB
46,30.219,73.979,18.1,mod,2023-10-30,14:M3:55,A,PB,FAZILKA
47,30.325,75.69,12.5,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
48,30.156,74.469,9.1,mod,2023-10-30,14:M3:55,A,PB,MUKTSAR
49,31.102,74.705,11.6,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
50,31.502,74.716,16.5,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
51,30.306,74.486,30.6,mod,2023-10-30,14:M3:55,A,PB,MUKTSAR
52,30.741,74.851,22.2,mod,2023-10-30,14:M3:55,A,PB,FARIDKOT
53,30.925,74.837,38.8,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
54,30.921,74.832,17.7,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
55,30.954,74.81,12.8,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
56,30.904,74.549,20.0,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
57,30.751,74.496,10.4,mod,2023-10-30,14:M3:55,A,PB,FARIDKOT
58,30.533,74.579,10.7,mod,2023-10-30,14:M3:55,A,PB,MUKTSAR
59,30.72,74.628,19.9,mod,2023-10-30,14:M3:55,A,PB,FARIDKOT
60,31.16,74.824,12.6,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
61,30.153,75.93,31.6,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
62,31.033,74.921,23.7,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
63,31.562,75.203,18.3,mod,2023-10-30,14:M3:55,A,PB,AMRITSAR
64,30.223,76.4,15.4,mod,2023-10-30,14:M3:55,A,PB,PATIALA
65,31.533,75.287,14.6,mod,2023-10-30,14:M3:55,A,PB,AMRITSAR
66,31.183,74.932,13.8,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
67,30.174,76.294,15.5,mod,2023-10-30,14:M3:55,A,PB,PATIALA
68,31.154,74.537,9.8,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
69,30.967,74.826,19.6,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
70,31.007,74.777,12.5,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
71,31.125,74.702,34.3,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
72,31.249,74.582,12.1,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
73,30.18,75.823,26.9,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
74,31.251,74.588,16.0,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
75,31.379,74.738,26.7,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
76,31.436,74.954,11.3,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
77,29.938,76.122,18.3,mod,2023-10-30,14:M3:55,A,PB,PATIALA
78,29.898,75.835,40.7,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
80,30.79,74.314,30.2,mod,2023-10-30,14:M3:55,A,PB,FIROZPUR
81,31.41,74.698,16.2,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
82,31.385,74.683,12.6,mod,2023-10-30,14:M3:55,A,PB,TARN TARAN
83,29.857,75.8,18.3,mod,2023-10-30,14:M3:55,A,PB,SANGRUR
