lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
29.181,78.649,306.7,2.9,1.6,64.0,18.4,mod,2024-02-24,13:20:40,016011,A,UP,,,,3311824,,1,2024-02-24,POINT (78.64900207519531 29.18099975585938)
29.45824,76.86881,295.5,0.3,0.6,8.0,0.3,npp,2024-02-24,02:50:46,063864,VF375,HR,,,,3311436,,1,2024-02-24,POINT (76.86881256103516 29.4582405090332)
29.45678,76.86905,295.4,0.3,0.6,8.0,0.6,npp,2024-02-24,02:50:46,063864,VF375,HR,,,,3311437,,1,2024-02-24,POINT (76.86904907226562 29.45677947998047)
26.87857,73.51538,298.5,0.5,0.5,8.0,1.3,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311440,,1,2024-02-24,POINT (73.515380859375 26.87857055664062)
24.44833,83.03973,299.1,0.5,0.5,8.0,1.1,npp,2024-02-24,01:10:29,063863,VF375,UP,,,,3311144,,1,2024-02-24,POINT (83.03972625732422 24.44832992553711)
26.64454,79.47733,354.8,0.5,0.7,8.0,6.8,npp,2024-02-24,01:10:29,063863,VF375,UP,,,,3311140,,1,2024-02-24,POINT (79.47733306884766 26.64454078674316)
26.64302,79.47592,345.5,0.5,0.7,8.0,3.5,npp,2024-02-24,01:10:29,063863,VF375,UP,,,,3311141,,1,2024-02-24,POINT (79.47592163085938 26.64302062988281)
26.64265,79.4809,305.1,0.5,0.7,8.0,3.5,npp,2024-02-24,01:10:29,063863,VF375,UP,,,,3311142,,1,2024-02-24,POINT (79.48090362548828 26.64265060424805)
26.75987,83.1991,304.1,0.6,0.5,8.0,2.0,npp,2024-02-24,01:10:29,063863,VF375,UP,,,,3311139,,1,2024-02-24,POINT (83.1990966796875 26.7598705291748)
26.75912,83.19998,302.5,0.6,0.5,8.0,2.2,npp,2024-02-24,01:10:29,063863,VF375,UP,,,,3311138,,1,2024-02-24,POINT (83.19998168945312 26.75912094116211)
24.66109,74.63126,299.1,0.6,0.6,8.0,2.4,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311443,,1,2024-02-24,POINT (74.63126373291016 24.66109085083008)
24.65974,74.63744,298.0,0.6,0.6,8.0,1.6,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311444,,1,2024-02-24,POINT (74.63744354248047 24.65974044799805)
24.82269,73.0956,300.5,0.5,0.5,8.0,1.2,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311445,,1,2024-02-24,POINT (73.09559631347656 24.82268905639648)
24.3587,73.82394,300.6,0.6,0.5,8.0,1.4,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311449,,1,2024-02-24,POINT (73.82393646240234 24.35869979858398)
26.6421,79.48388,344.1,0.6,0.7,8.0,3.7,npp,2024-02-24,02:50:46,063864,VF375,UP,,,,3311438,,1,2024-02-24,POINT (79.48387908935547 26.64209938049316)
26.64354,79.47835,298.2,0.6,0.7,8.0,3.7,npp,2024-02-24,02:50:46,063864,VF375,UP,,,,3311439,,1,2024-02-24,POINT (79.47834777832031 26.64353942871094)
26.25977,74.09483,296.6,0.5,0.5,8.0,0.7,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311442,,1,2024-02-24,POINT (74.09483337402344 26.25976943969727)
24.68954,73.00181,299.2,0.5,0.5,8.0,1.3,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311447,,1,2024-02-24,POINT (73.00180816650391 24.68954086303711)
24.36339,73.82521,313.4,0.6,0.5,8.0,1.4,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311448,,1,2024-02-24,POINT (73.82521057128906 24.36338996887207)
29.91147,74.94923,300.3,0.5,0.5,8.0,1.0,npp,2024-02-24,02:50:46,063864,VF375,PB,,,,3311433,,1,2024-02-24,POINT (74.94922637939453 29.91147041320801)
26.87315,73.51909,298.1,0.5,0.5,8.0,1.1,npp,2024-02-24,02:50:46,063864,VF375,RJ,,,,3311441,,1,2024-02-24,POINT (73.51908874511719 26.87314987182617)
