geometry,lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t
POINT (76.96499633789062 25.12100028991699),,,,,,,,,,,,,,,,,,,,
POINT (83.24099731445312 27.13599967956543),,,,,,,,,,,,,,,,,,,,
POINT (76.96800231933594 25.13299942016602),,,,,,,,,,,,,,,,,,,,
POINT (73.47000122070312 29.84900093078613),,,,,,,,,,,,,,,,,,,,
POINT (76.96099853515625 25.12800025939941),,,,,,,,,,,,,,,,,,,,
POINT (76.55100250244141 30.66200065612793),,,,,,,,,,,,,,,,,,,,
POINT (75.60299682617188 31.54999923706055),,,,,,,,,,,,,,,,,,,,
POINT (75.42099761962891 31.67399978637695),,,,,,,,,,,,,,,,,,,,
POINT (76.01399993896484 30.88999938964844),,,,,,,,,,,,,,,,,,,,
POINT (75.58499908447266 32.17300033569336),,,,,,,,,,,,,,,,,,,,
POINT (82.70729064941406 24.13985061645508),24.13985,82.70729,322.5,0.4,0.6,8.0,2.7,npp,2024-04-02,00:57:42,064402,VF375,UP,,,,3388943.0,,1.0,2024-04-02
POINT (82.705322265625 24.14045906066895),24.14046,82.70532,318.5,0.4,0.6,8.0,2.4,npp,2024-04-02,00:57:42,064402,VF375,UP,,,,3388959.0,,1.0,2024-04-02
POINT (79.47380065917969 26.64138984680176),26.64139,79.4738,298.9,0.7,0.8,8.0,0.9,npp,2024-04-02,00:57:42,064402,VF375,UP,,,,3388915.0,,1.0,2024-04-02
POINT (80.53948974609375 28.68643951416016),28.68644,80.53949,299.0,0.4,0.6,8.0,0.6,npp,2024-04-02,02:37:59,064403,VF375,UP,,,,3389198.0,,1.0,2024-04-02
POINT (82.54318237304688 27.6767406463623),27.67674,82.54318,300.2,0.5,0.7,8.0,1.0,npp,2024-04-02,02:37:59,064403,VF375,UP,,,,3389202.0,,1.0,2024-04-02
POINT (77.27317047119141 28.27099990844727),,,,,,,,,,,,,,,,,,,,
